rating;rating_count;age;year;review_count;pages_count;price;name;author;link;text_reviews
5.0;1;0;2009;0;225 стр.;250.0;Языки Basic;В. К. Алиев;https://www.litres.ru/book/valeriy-aliev/yazyki-basic-8333055/;[]
0.0;0;0;2006;0;16 стр.;168.0;Проектирование программного обеспечения с использованием стандартов UML 2.0 и SysML 1.0;С. С. Девятов;https://www.litres.ru/book/s-s-devyatov/proektirovanie-programmnogo-obespecheniya-s-ispolzovaniem-sta-5616293/;[]
2.0;1;0;2019;1;175 стр.;449.0;Обработка текстовой и графической информации;М. Ф. Гарифуллин;https://www.litres.ru/book/m-f-garifullin/obrabotka-tekstovoy-i-graficheskoy-informacii-45276389/;['Устаревшее наполнение. Старый диалект Fortranа в 21 веке и сокращения, вроде, ЭВМ режут глаз. ', 'Не очень понятно зачем издательство Техносфера издало эту книгу.']
4.0;1;0;2017;0;12 стр.;168.0;Эффективная модель управления объектами в задачах ортогональной упаковки и прямоугольного раскроя;В. А. Чеканин;https://www.litres.ru/book/a-v-chekanin/effektivnaya-model-upravleniya-obektami-v-zadachah-ortogonaln-24869620/;[]
1.5;2;0;2014;1;8 стр.;168.0;Методологические и программно-технологические аспекты внедрения процессного управления в ИТ-компании;А. И. Волков;https://www.litres.ru/book/a-i-volkov/metodologicheskie-i-programmno-tehnologicheskie-aspekty-vnedren-7064406/;['Вряд ли эта брошюра стоит потраченных денег. В ней автор перечисляет на 5 страницах известные подходы к моделированию процессов, не углубляясь особо в каждый из них. Практической пользы мало.']
1.5;2;0;2010;2;10 стр.;168.0;Модели прогнозирования цен акций с применением функций Уолша и марковских цепей;Е. В. Соколов;https://www.litres.ru/book/d-v-borodin/modeli-prognozirovaniya-cen-akciy-s-primeneniem-funkciy-uolsha-5000537/;['К сожалению очень поверхностное исследование – просто обзор применения модели Уолша и марковских цепей в разных областях науки', 'Что же авторы сами то не обогатились на этой модели? Что-нибудь действительно стоящее и зарабатывающее деньги, держится в секрете за семью печатями и становится известным или публикуемым только тогда, когда модель перестаёт работать.']
5.0;1;0;2013;0;178 стр. 215 иллюстраций;320.0;Проектирование литьевой оснастки с использованием программы Solid Edge;С. Ахтямова;https://www.litres.ru/book/v-kurnosov/proektirovanie-litevoy-osnastki-s-ispolzovaniem-programmy-solid-17004998/;[]
3.0;2;0;2015;0;416 стр.;319.0;Архитектура компьютеров;Михаил Буза;https://www.litres.ru/book/mihail-buza/arhitektura-komputerov-19163443/;[]
4.0;1;0;2017;0;62 стр.;149.0;Задачи по программированию в Microsoft Excel;А. В. Замятин;https://www.litres.ru/book/b-s-leschinskiy/zadachi-po-programmirovaniu-v-microsoft-excel-67272173/;[]
0.0;0;0;2016;0;119 стр.;249.0;Введение в интеллектуальный анализ данных;А. В. Замятин;https://www.litres.ru/book/a-v-zamyatin/vvedenie-v-intellektualnyy-analiz-dannyh-67269075/;[]
0.0;0;0;2019;1;289 стр.;249.0;Объектно-ориентированное программирование на С++;И. В. Баженова;https://www.litres.ru/book/elena-kuchunova/obektno-orientirovannoe-programmirovanie-na-s-65781250/;['Книга издана в 2019 году, но, похоже, в ней рассматривается стандарт С++03. Нет ничего про нововведения поздних стандартов: новые виды конструкторов, rvale ссылки, auto, лямбды и т.д.']
0.0;0;0;2017;0;34 стр.;229.0;Метод трансляции на основе Польской Инверсной Записи;А. И. Фомичев;https://www.litres.ru/book/v-a-sibiryakova/metod-translyacii-na-osnove-polskoy-inversnoy-zapisi-67279461/;[]
0.0;0;0;2009;0;6 стр.;96.0;Детерминированный хаос и кодирование информации;А. И. Фомичев;https://www.litres.ru/book/a-fomichev/determinirovannyy-haos-i-kodirovanie-informacii-5005498/;[]
0.0;0;0;2009;0;11 стр.;96.0;Модели оценки стоимости информационных систем в методологиях разработки программного обеспечения;Х. Р. Алиев;https://www.litres.ru/book/m-b-borisov/modeli-ocenki-stoimosti-informacionnyh-sistem-v-metodologiyah-5008137/;[]
4.0;1;0;2010;0;13 стр.;96.0;Генетический подход к проблеме оценки сроков и трудоёмкости разработки программного обеспечения с заданными требованиями к качеству;С. П. Кульдин;https://www.litres.ru/book/s-p-kuldin/geneticheskiy-podhod-k-probleme-ocenki-srokov-i-trudoemkosti-ra-5000527/;[]
0.0;0;0;2012;0;5 стр.;96.0;Модель формирования оптимальной структуры аппарата управления организации;В. Е. Кайман;https://www.litres.ru/book/v-e-kayman/model-formirovaniya-optimalnoy-struktury-apparata-upravleniya-o-4976813/;[]
0.0;0;0;2011;0;5 стр.;96.0;Опыт разработки и тестирования встраиваемой микроядерной операционной системы;И. О. Атовмян;https://www.litres.ru/book/v-a-sartakov/opyt-razrabotki-i-testirovaniya-vstraivaemoy-mikroyadernoy-op-4977171/;[]
0.0;0;0;2021;0;19 стр.;168.0;Разработка кроссплатформенных мобильных приложений – перспективные методы и стандартные практики;Ю. В. Нефедов;https://www.litres.ru/book/a-n-chursin/razrabotka-krossplatformennyh-mobilnyh-prilozheniy-perspektivn-67127184/;[]
0.0;0;0;2021;0;17 стр.;168.0;Сплайн-аппроксимация как основа компьютерной технологии проектирования трасс линейных сооружений;В. И. Струченков;https://www.litres.ru/book/v-struchenkov/splayn-approksimaciya-kak-osnova-komputernoy-tehnologii-proe-67126335/;[]
0.0;0;0;2020;0;18 стр.;168.0;Математические модели, алгоритмы и комплекс программ для анализа и прогнозирования показателей национальной безопасности;Н. В. Яндыбаева;https://www.litres.ru/book/d-v-kondratov/matematicheskie-modeli-algoritmy-i-kompleks-programm-dlya-an-55372813/;[]
1.3;3;0;2020;2;10 стр.;168.0;Разработка интерфейсов прикладных программ: макетирование или прототипирование;О. В. Тиханычев;https://www.litres.ru/book/i-a-bystrakova/razrabotka-interfeysov-prikladnyh-programm-maketirovanie-il-55373731/;['Тема не раскрыта, всего 10 страниц на такую объемную тему. Много общей информации, про разработку интерфейсов по сути ничего не узнала', 'О том, что в этой методичке 10 страниц нужно писать большими буквами в самом начале описания. Тема вообще не раскрыта. Такое чувство, что это введение к какой-то диссертации']
1.0;1;0;2017;0;6 стр.;168.0;Теоретические и методологические принципы разработки новых подходов к моделированию элементов архитектуры предприятия;Л. З. Давлеткиреева;https://www.litres.ru/book/e-v-romanova-2/teoreticheskie-i-metodologicheskie-principy-razrabotki-novy-27108061/;[]
3.7;3;0;2017;0;5 стр.;168.0;Модуль управления командами GNU Linux/UNIX на языке Java;А. В. Юрков;https://www.litres.ru/book/a-v-urkov/modul-upravleniya-komandami-gnu-linux-unix-na-yazyke-java-26118452/;[]
0.0;0;0;2015;0;11 стр.;168.0;Адаптация онтологии Бунге–Ванда–Вебера к описанию исполняемых моделей бизнес-процессов;И. Г. Фёдоров;https://www.litres.ru/book/i-g-fedorov/adaptaciya-ontologii-bunge-vanda-vebera-k-opisaniu-ispolnyaemy-11844101/;[]
2.7;3;0;2009;1;6 стр.;168.0;Использование трёхмерного моделирования при расследовании дорожно-транспортных происшествий;Е. А. Сатюков;https://www.litres.ru/book/e-a-satukov/ispolzovanie-trehmernogo-modelirovaniya-pri-rassledovanii-doro-5019022/;['Ничего интересного и полезного. 6 страниц фигни полной. Эта брощюра должна стоить в разы меньше. Не рекомендую к покупке']
0.0;0;0;2014;0;13 стр.;96.0;Методика проектирования информационных систем для сферы государственных и муниципальных услуг;К. В. Кутикова;https://www.litres.ru/book/k-v-kutikova/metodika-proektirovaniya-informacionnyh-sistem-dlya-sfery-gos-9022825/;[]
0.0;0;0;2014;0;8 стр.;96.0;Тренинговая система дополненной реальности для авиадиспетчеров;А. Л. Горбунов;https://www.litres.ru/book/a-l-gorbunov/treningovaya-sistema-dopolnennoy-realnosti-dlya-aviadispetche-8654196/;[]
0.0;0;0;2007;0;27 стр.;96.0;Моделирование информационных технологий на GPSS;А. А. Емельянов;https://www.litres.ru/book/a-a-emelyanov/modelirovanie-informacionnyh-tehnologiy-na-gpss-5316346/;[]
